,fleksiva_forma,lemma,vardskira,indekss_teksta,teksta_fragments,faila_nosaukums
21,stāv,stāvēt,VERB,3343,lielākai daļai paša cilvēka varā stāv savu dzīvi darīt priecīgu un,1893MedinskaMarijaSērdienīteStasts
33,stāv,stāvēt,VERB,5812,"pie tādām darīšanām , kuras stāv manā vaļā . Citādi tas",1893MedinskaMarijaSērdienīteStasts
61,stāvam,stāvēt,VERB,2657,", vai mēs pret to stāvam vai ejam bojā ... Laimīgākās",1894AspazijaCinaParNakamibuNovele
127,stāv,stāvēt,VERB,8010,"sadzīves pārijs , izstumtais , stāv viņas troņa priekšā . Visi",1894AspazijaCinaParNakamibuNovele
146,stāvu,stāvēt,VERB,9760,", tagad cieši apkampa viņas stāvu . Viņai pie šī apskāviena",1894AspazijaCinaParNakamibuNovele
158,stāv,stāvēt,VERB,11916,", savu mērķi sasniegusi , stāv klusu vai nu iet atpakaļ",1894AspazijaCinaParNakamibuNovele
169,stāv,stāvēt,VERB,13153,"gan tie muļķi , kuri stāv , rokas salikuši , un",1894AspazijaCinaParNakamibuNovele
208,stāvam,stāvēt,VERB,16398,"it kā sastingusi uz vietas stāvam no kāda nāvīgi auksta ,",1894AspazijaCinaParNakamibuNovele
232,stāv,stāvēt,VERB,1049,", kā tava vīra veikals stāv , » viņš atteica jau",1895ZaliteHermineEjUnIzglitojiesStasts
237,stāv,stāvēt,VERB,1914,"ziniet , ka manā varā stāv , ka rītu šis dzīvoklis",1895ZaliteHermineEjUnIzglitojiesStasts
311,stāv,stāvēt,VERB,2592,"pabeigusi nosviedu grāmatas , lai stāv uz mūžīgiem laikiem , »",1896ZaliteHermineNoTumsībasPieGaismasStasts
379,stāv,stāvēt,VERB,1419,"nieka lietu , nākošā bēte stāv jau augstāku par trim rubļiem",1899BirzniekuLatinaKarsuPartijaStasts
550,stāv,stāvēt,VERB,7946,", cik glīti baltā krāsa stāv pie viņas sārtajiem vaigiem un",1899BrigadereAnnaPatversmeStasts
559,stāv,stāvēt,VERB,8341,". Dziļi elpodama , viņa stāv pie durvīm , viņai gandrīz",1899BrigadereAnnaPatversmeStasts
585,stāv,stāvēt,VERB,1559,vienmēr neslaucīta istaba un trauki stāv nemazgāti uz galda no viena,1900BirzniekuLatinaKasTuvakuSkice
591,stāv,stāvēt,VERB,59,nodegušas raudenas un nopļautās pļavas stāv kailas ; zāle neatzib lielā,1900BirzniekuLatinaUzKurieniGrieztiesStasts
899,stāv,stāvēt,VERB,1896,". Viņa nekā nerunā , stāv un skatās tādu skatienu ,",1902RumaneGaramejotStasts
909,stāv,stāvēt,VERB,319,", zemu ... Klusu viņi stāv roku rokā . Dabas spēka",1902RumaneJurasSpekaTelojums
916,stāv,stāvēt,VERB,634,un šķīst . Un viņi stāv un gaidīt gaida šos lielos,1902RumaneJurasSpekaTelojums
953,stāv,stāvēt,VERB,130,"kā teiksmainas karaļpilis viņi tur stāv , tik klusi kā atstāti",1902RumaneTuJaunibaSkice
1043,stāvu,stāvēt,VERB,6303,"vajadzētu zināt , ka es stāvu , aiz loga priekškariem paslēpusies",1903BrigadereAnnaKristīnesStāsts
1079,stāv,stāvēt,VERB,7977,marš ! Tā tās lietas stāv no vakarvakara . Un tu,1903BrigadereAnnaKristīnesStāsts
1158,stāv,stāvēt,VERB,577,", nāvei , miesas iznīcībai stāv skaistās puķes un lepnie marmortēli",1903RumaneSauleiNoejotSkice
1208,stāvam,stāvēt,VERB,2234,palika necik soļus no viņa stāvam . Vēl tagad viņa bija,1904BirzniekuLatinaPecGadiemStasts
1222,stāv,stāvēt,VERB,1801,"Uz vieniem sāniem nošķiebušies , stāv tā Virzu muiža meža malā",1904TirzmalieteCikVajagPrieksCilvekaLaimesStasts
1223,stāv,stāvēt,VERB,1832,". Bet pie nokvēpušā lodziņa stāv divi līki bērzi , sniegu",1904TirzmalieteCikVajagPrieksCilvekaLaimesStasts
