,faila_nosaukums,VISS_KERMENIS,KERMENA_DALAS,GALVA_UN_DALAS,CITI_VARDI,TOTAL,tokens_count,kv_procentos
0,1893MedinskaMarijaSērdienīteStasts,7,15,13,3,38,7148,0.53
1,1894AspazijaCinaParNakamibuNovele,14,70,76,8,168,17619,0.95
2,1895ZaliteHermineEjUnIzglitojiesStasts,1,7,8,0,16,2374,0.67
3,1896ZaliteHermineIzlīdzētsStasts,0,6,6,1,13,1295,1.0
4,1896ZaliteHermineMūsuCeliSkirasStasts,1,12,26,1,40,5073,0.79
5,1896ZaliteHermineNoTumsībasPieGaismasStasts,2,9,16,1,28,4771,0.59
6,1898BirzniekuLatinaLaimigaisTevsStasts,4,16,12,0,32,3102,1.03
7,1899BirzniekuLatinaKarsuPartijaStasts,3,17,34,1,55,4906,1.12
8,1899BirzniekuLatinaPusratiStasts,2,13,15,1,31,3104,1.0
9,1899BrigadereAnnaPatversmeStasts,2,48,51,7,108,9324,1.16
10,1900BirzniekuLatinaKasTuvakuSkice,1,2,12,1,16,2453,0.65
11,1900BirzniekuLatinaUzKurieniGrieztiesStasts,4,9,12,0,25,1990,1.26
12,1901BirzniekuLatinaParsteigumsStasts,5,18,27,1,51,3371,1.51
13,1901BirzniekuLatinaVagonaStasts,9,9,23,0,41,1428,2.87
14,1901BrigadereAnnaKņazeIrēnaStasts,4,28,38,9,79,4909,1.61
15,1902BirzniekuLatinaMilestibaStasts,4,7,18,5,34,2204,1.54
16,1902RumaneDzivotGribasSkice,2,4,9,3,18,992,1.81
17,1902RumaneGaramejotStasts,2,16,35,3,56,2194,2.55
18,1902RumaneJurasSpekaTelojums,1,9,3,2,15,845,1.78
19,1902RumaneProcesijaSkice,0,15,12,0,27,944,2.86
20,1902RumaneTuJaunibaSkice,0,1,2,1,4,690,0.58
21,1903BrigadereAnnaKristīnesStāsts,3,59,89,5,156,13509,1.15
22,1903RumaneAnnaDienvidusSirds_skice,0,7,6,0,13,1036,1.25
23,1903RumaneKeninaNaktsJutasSkice,2,3,5,0,10,858,1.17
24,1903RumaneSauleiNoejotSkice,5,2,5,0,12,884,1.36
25,1904BirzniekuLatinaPecGadiemStasts,3,23,19,2,47,2497,1.88
26,1904RumanePavasaraIlgasSkice,0,1,0,0,1,481,0.21
27,1904TirzmalieteCikVajagPrieksCilvekaLaimesStasts,0,9,7,0,16,3480,0.46
28,1905BirzniekuSofijaIzMusuDienamStasts,2,26,32,3,63,2960,2.13
29,1905ZemgaliesuBirutaJurmalasBernsSkice,5,8,32,5,50,1212,4.13
30,1905ZemgaliesuBirutaKadasJaunibasGalsStasts,5,27,35,9,76,4094,1.86
31,1905ZemgaliesuBirutaLaimesDienaSkice,0,1,3,2,6,543,1.1
32,1906ZemgaliesuBirutaDabasBalssSkice,2,9,17,2,30,1130,2.65
33,1906ZemgaliesuBirutaDzivesSalkumsStasts,3,38,50,4,95,5024,1.89
34,1906ZemgaliesuBirutaGaramejotSkice,2,6,14,2,24,914,2.63
35,1906ZemgaliesuBirutaMirkliSkice,1,4,8,1,14,734,1.91
36,1906ZemgaliesuBirutaNenosutitaVestuleSkice,1,5,4,0,10,692,1.45
37,1906ZemgaliesuBirutaPurvaLakstigalaStasts,1,23,25,6,55,4822,1.14
38,1906ZemgaliesuBirutaSfinksaStasts,2,19,28,8,57,2588,2.2
39,1906ZemgaliesuBirutaVitaRozeSkice,3,9,7,2,21,1230,1.71
40,1907ZemgaliesuBirutaBijisTalantsSkice,0,5,12,2,19,1059,1.79
41,1907ZemgaliesuBirutaBulvaraZiedinsStasts,5,10,26,5,46,2839,1.62
42,1907ZemgaliesuBirutaMilestibasVerdzeneStasts,1,17,22,1,41,2487,1.65
43,1907ZemgaliesuBirutaNeaizmirstamaZeltaJaunibaSkice,0,5,5,0,10,889,1.12
44,1907ZemgaliesuBirutaPaVientuluTekuSkice,3,28,12,3,46,2245,2.05
45,1908PrusaEmilijaKaCilveksMirst,2,3,7,1,13,792,1.64
46,1911LicisuPaulaDivasRokasSkice,0,17,4,1,22,597,3.69
47,1912AntijaAinaAreStasts,19,147,254,21,441,24995,1.76
48,1912RumaneMatesBedasStasts,32,134,142,22,330,16343,2.02
49,1913GailiteAngelikaAtsvabinasanasStasts,14,23,21,1,59,4417,1.34
50,1913GailiteAngelikaDraudzibaTelojums,2,3,11,0,16,2221,0.72
51,1913GailiteAngelikaDzimteneTelojums,2,4,4,0,10,491,2.04
52,1913GailiteAngelikaMelanholijaTelojums,0,0,2,0,2,501,0.4
53,1913GailiteAngelikaSievieteTelojums,1,6,20,0,27,2767,0.98
54,1913GailiteAngelikaTikaiSapnisTelojums,1,0,5,0,6,604,0.99
55,1913GailiteAngelikaVenusVaiElizabeteStasts,8,13,47,3,71,6792,1.05
56,1913GailīteAngelikaCinaStasts,12,13,38,1,64,5416,1.18
57,1921BangaPirmāUzstāšanāsStasts,0,14,18,1,33,1128,2.93
58,1921ZamaicaLucijaLietusTelojums,7,19,22,3,51,1460,3.49
59,1921ZamaicaLucijaMurgiStasts,16,28,50,11,105,2892,3.63
60,1921ZamaicaLucijaPagatnesEnasTelojums,7,7,6,0,20,1504,1.33
61,1921ZamaicaLucijaPavasaraSimfonijaTelojums,1,15,16,0,32,2312,1.38
62,1921ZamaicaLucijaVestuleTelojums,2,4,8,10,24,1287,1.86
63,1921ZamaicaLucijaVientulaGaitaStasts,9,29,19,1,58,2291,2.53
64,1921ZamaicaLucijaVinaZagaStasts,15,44,48,5,112,3410,3.28
65,1924BaumaneAlijaAulojosaPilsetaStasts,5,40,37,6,88,11703,0.75
66,1924BaumaneAlijaBrauciensStasts,3,26,36,5,70,10131,0.69
67,1924StundaAnnaMāksliniekaSievaStasts,1,4,22,1,28,2021,1.39
68,1924TalmaneEizenijaLaimeStasts,7,12,18,1,38,2860,1.33
69,1924TalmaneEizenijaSudrabaNazītisStasts,3,10,17,1,31,2233,1.39
70,1925BaumaneAlijaPiedzīvojumsStasts,5,17,25,2,49,2419,2.03
71,1925KlieneElijaPēdejāKvēleStasts,4,18,52,6,80,4084,1.96
72,1925KlotoAmandaLapasNoKādasDienasgrāmatas,0,2,1,0,3,1433,0.21
73,1925LiepinaMarijaUzDzīvesDrupāmStasts,1,10,20,1,32,2554,1.25
74,1925TalmaneEizenijaAizaugušosCeļosStasts,2,7,10,0,19,2079,0.91
75,1925ZamaicaLucijaCiemaPieTautiesiemStasts,7,38,44,4,93,11571,0.8
76,1925ZamaicaLucijaKaJanisAgatiPavedaStasts,3,19,17,1,40,2300,1.74
77,1925ZamaicaLucijaKolumbineStasts,1,24,37,3,65,2079,3.13
78,1925ZamaicaLucijaMuksStefansUnNelijaStasts,5,11,24,2,42,2083,2.02
79,1925ZamaicaLucijaRajaStasts,5,27,28,6,66,2812,2.35
80,1925ZamaicaLucijaZentaStasts,4,16,19,2,41,1899,2.16
81,1925ZamaicaLucijaZieduLastsStasts,1,18,30,6,55,6627,0.83
82,1926KlotoAmandaPātagasCirtiensStasts,2,16,19,4,41,1819,2.25
83,1926ProrinaElzaDendijsUnUbagsTelojums,2,7,12,1,22,1093,2.01
84,1926ProrinaElzaNersStasts,2,6,15,0,23,2521,0.91
85,1927BaumaneAlijaTiesaStasts,2,5,17,4,28,2705,1.04
86,1927BrodeleAnnaNaktstaurinaPiedzimsanaStasts,2,20,24,0,46,2189,2.1
87,1927DaugavieteAnnaRitaStasts,1,5,8,0,14,2734,0.51
88,1927GailiteAngelikaBerniTelojums,0,10,6,0,16,1183,1.35
89,1927GailiteAngelikaCorArdensStasts,15,51,33,3,102,12220,0.83
90,1927GailiteAngelikaGreciniecesStasts,2,4,8,0,14,1956,0.72
91,1927GailiteAngelikaKazuCelojumsStasts,1,10,6,2,19,3762,0.51
92,1927GailiteAngelikaMateTelojums,0,4,6,0,10,1634,0.61
93,1927GailiteAngelikaSapnotajasStasts,0,3,8,0,11,2304,0.48
94,1927PrusaEmilijaAbelīteStasts,2,8,11,1,22,1894,1.16
95,1927PrusaEmilijaDzeltenieSapnuTauriniTelojums,2,8,16,2,28,1796,1.56
96,1927PrusaEmilijaĶiršuZiediAtminasStasts,3,21,30,5,59,6330,0.93
97,1927PrusaEmilijaMeduzasGalvaStasts,1,4,14,1,20,1786,1.12
98,1927PrusaEmilijaRaibieSapnuTauriniTelojums,1,7,9,2,19,1789,1.06
99,1927PrusaEmilijaRasaStasts,1,13,21,1,36,6721,0.54
100,1928BaumaneAlijaNotikumsDalderosStasts,5,9,23,3,40,2466,1.62
101,1928BendrupeLijaZemgalesMeiteneStasts,1,67,88,10,166,7652,2.17
102,1928BendrupeMirdzaJaunatneStasts,16,89,144,13,262,10415,2.52
103,1928DelleVilmaSaulgriezesStasts,0,51,37,6,94,5767,1.63
104,1928GrimmaMartaPeldētājaZuzannaStasts,8,26,49,3,86,4877,1.76
105,1928NiedraAidaDzervjuDziesmaStasts,3,29,30,2,64,4776,1.34
106,1928NiedraAidaSvetaisVinsStasti,9,59,89,10,167,10408,1.6
107,1928OzolinaKrauzeTomerTomerStasts,3,6,12,2,23,1380,1.67
108,1928OzolinaKrauzeZakaSirdsbrinumiCiklopakrogaStasts ,6,56,50,8,120,8472,1.42
