,faila_nosaukums,VISS_KERMENIS,KERMENA_DALAS,GALVA_UN_DALAS,CITI_VARDI,TOTAL,tokens_count,kv_procentos
29,1905ZemgaliesuBirutaJurmalasBernsSkice,0.4125,0.6601,2.6403,0.4125,50,1212,4.13
251,1994ZemdegaAinaAtgriesanasStasts,0.1399,1.7716,1.6783,0.3263,84,2145,3.92
119,1930BangaTijaAktriseSkice,0.3317,0.995,2.3217,0.1658,23,603,3.81
255,1998AbeleIngaNatresSkice,0.099,1.5842,1.6832,0.396,38,1010,3.76
46,1911LicisuPaulaDivasRokasSkice,0.0,2.8476,0.67,0.1675,22,597,3.69
59,1921ZamaicaLucijaMurgiStasts,0.5533,0.9682,1.7289,0.3804,105,2892,3.63
206,1973BlumfeldeIreneDejotajaTelojums,0.5046,1.0092,1.8807,0.1835,78,2180,3.58
58,1921ZamaicaLucijaLietusTelojums,0.4795,1.3014,1.5068,0.2055,51,1460,3.49
111,1929BendrupeMirdzaMarijaMadaļaStasts,0.2913,1.3506,1.589,0.2119,130,3776,3.44
248,1994IkstenaGadijumsArKornelijuStasts,0.0,1.2458,1.495,0.5814,40,1204,3.32
140,1938BendrupeMirdzaDivkaujaVilcienāStasts,0.0893,1.2946,1.8304,0.0893,74,2240,3.3
64,1921ZamaicaLucijaVinaZagaStasts,0.4399,1.2903,1.4076,0.1466,112,3410,3.28
77,1925ZamaicaLucijaKolumbineStasts,0.0481,1.1544,1.7797,0.1443,65,2079,3.13
256,1998AbeleIngaTalasSatiksmesVilciensStasts,0.0336,0.907,1.8139,0.3359,92,2977,3.09
114,1929PetersoneZenijaAnnaKlavaStasts,0.0975,1.3456,1.3066,0.273,155,5128,3.02
162,1942ZaliteElinaStiprāsSaites,0.2553,1.2128,1.2553,0.2979,142,4700,3.02
57,1921BangaPirmāUzstāšanāsStasts,0.0,1.2411,1.5957,0.0887,33,1128,2.93
139,1938BendrupeMirdzaDievbijigasTerencijas KardinasanaStasts,0.1081,1.0086,1.549,0.2161,80,2776,2.88
146,1938BendrupeMirdzaMilniecesGalsStasts,0.2738,0.8898,1.54,0.1711,168,5844,2.87
13,1901BirzniekuLatinaVagonaStasts,0.6303,0.6303,1.6106,0.0,41,1428,2.87
19,1902RumaneProcesijaSkice,0.0,1.589,1.2712,0.0,27,944,2.86
143,1938BendrupeMirdzaLaunāUgunsStasts,0.4512,0.982,1.2473,0.1327,106,3768,2.81
258,2002AbeleMilestibasGadiStasts,0.2726,0.7724,1.5448,0.1817,61,2201,2.77
179,1960BelsevicaVizmaVinaBalssStasts,0.0,0.367,1.8349,0.4893,44,1635,2.69
257,1999IkstenaMiliManiNaomijaStasts,0.1154,1.4081,0.9464,0.2078,116,4332,2.68
202,1970SkipsnaIlzeSkatitajsStasts,0.2953,0.4429,1.8209,0.0984,54,2032,2.66
32,1906ZemgaliesuBirutaDabasBalssSkice,0.177,0.7965,1.5044,0.177,30,1130,2.65
34,1906ZemgaliesuBirutaGaramejotSkice,0.2188,0.6565,1.5317,0.2188,24,914,2.63
152,1938BendrupeMirdzaTaLabaLugsanaStasts,0.1331,1.0812,1.1477,0.2495,157,6012,2.61
17,1902RumaneGaramejotStasts,0.0912,0.7293,1.5953,0.1367,56,2194,2.55
63,1921ZamaicaLucijaVientulaGaitaStasts,0.3928,1.2658,0.8293,0.0436,58,2291,2.53
102,1928BendrupeMirdzaJaunatneStasts,0.1536,0.8545,1.3826,0.1248,262,10415,2.52
164,1945SakseMaraStasts,0.1336,1.4696,0.8016,0.0668,37,1497,2.47
207,1973EzerareginaPasaziereStasts,0.089,1.2011,0.9342,0.2447,111,4496,2.47
155,1939LeimaneIlonaPusnaktsMīlaStasts,0.0977,1.123,1.0742,0.1465,50,2048,2.44
118,1929TirzmalieteAsruMantojumsStasts,0.0643,0.9323,1.2377,0.209,152,6221,2.44
243,1990RepseGundegaNoPucesKliedzienaStasts,0.385,0.6737,1.0266,0.3208,75,3117,2.41
188,1965GrebzdeIrmaCinaStasts,0.0498,0.7968,1.3944,0.1494,48,2008,2.39
141,1938BendrupeMirdzaGustisnSvilpoStasts,0.0959,0.9305,1.2086,0.1535,249,10425,2.39
147,1938BendrupeMirdzaNederīgāStasts,0.0433,0.974,1.2554,0.1082,110,4620,2.38
79,1925ZamaicaLucijaRajaStasts,0.1778,0.9602,0.9957,0.2134,66,2812,2.35
222,1980AistaraZintaLietusUnLaulibasDziveStasts,0.1662,1.1634,0.6648,0.3324,42,1805,2.33
236,1986ValodzeAijaSveiksMansMazinaisStasts,0.0649,0.9088,1.0711,0.2597,142,6162,2.3
154,1939GrimmaMartaDivejadiSkupstiStasts,0.1679,0.7916,1.1993,0.1199,95,4169,2.28
254,1998AbeleIngaAkasMajaStasts,0.1357,0.724,1.267,0.1357,50,2210,2.26
82,1926KlotoAmandaPātagasCirtiensStasts,0.11,0.8796,1.0445,0.2199,41,1819,2.25
